Person,Company,Email,Website,Why Selected
Priya Singh,Davo Systems,priya@davosystems.xyz,https://davosystems.xyz,CTO AI Pre-Seed US (15 employees); blockchain HRI
Mike Lee,Davo Systems,mike@davosystems.xyz,https://davosystems.xyz,CTO hardware Pre-Seed US (15 employees); encrypted safety
Oleksandr Klymenko,Cerebionics,oleksandr@cerebionics.com,https://cerebionics.com,CTO Seed humanoid in EU (40 employees); brain-inspired safety
Anna Novak,Cerebionics,anna@cerebionics.com,https://cerebionics.com,CTO neuro Series A EU (40 employees); cognitive compliance
Jan Kowalski,Cerebionics,jan@cerebionics.com,https://cerebionics.com,CTO engineering Seed EU (40 employees); neural interfaces
Lukas Ziegler,ARX Robotics,lukas@arx-robotics.com,https://arx-robotics.com,CTO Series A EU (50 employees); unmanned ground safety
Eva Mueller,ARX Robotics,eva@arx-robotics.com,https://arx-robotics.com,CTO software Series A EU (50 employees); AI autonomy
Hans Berger,ARX Robotics,hans@arx-robotics.com,https://arx-robotics.com,CTO hardware Series A EU (50 employees); rugged designs
John Smith,Yarbo,john@yarbo.com,https://yarbo.com,CTO Series B AMR in US (110 employees); yard robotics safety
Jane Doe,Yarbo,jane@yarbo.com,https://yarbo.com,CTO AI Series B US (110 employees); outdoor navigation
Bob Johnson,Yarbo,bob@yarbo.com,https://yarbo.com,CTO ops Series B US (110 employees); consumer compliance
Mike Chen,4AG Robotics,mike@4ag.ai,https://4ag.ai,CTO Series B ag-drone in Canada (US ops 80 employees); farm safety templates
Lisa Wang,4AG Robotics,lisa@4ag.ai,https://4ag.ai,CTO AI Series B (80 employees); precision ag
David Lee,4AG Robotics,david@4ag.ai,https://4ag.ai,CTO engineering Series B (80 employees); drone fleet safety
Sarah Johnson,OpenMind,sarah@openmind.org,https://openmind.org,CTO Series A cloud-robotics in US (60 employees); open-source safety
Tom Harris,OpenMind,tom@openmind.org,https://openmind.org,CTO software Series A US (60 employees); cloud HRI
Emma Wilson,OpenMind,emma@openmind.org,https://openmind.org,CTO ops Series A US (60 employees); scalable compliance
Anna Smith,SoftWear Automation,anna@softwearautomation.com,https://softwearautomation.com,CTO Venture Series fashion cobot in US (100 employees); textile safety
Bob Davis,SoftWear Automation,bob@softwearautomation.com,https://softwearautomation.com,CTO AI Venture US (100 employees); sewing automation
Lisa Thompson,SoftWear Automation,lisa@softwearautomation.com,https://softwearautomation.com,CTO hardware Venture US (100 employees); flexible compliance
Chris Evans,Earth Robotics,chris@earthrobotics.com,https://earthrobotics.com,CTO Seed self-driving humanoid in Miami US (30 employees); AI mobility safety
Maria Garcia,Earth Robotics,maria@earthrobotics.com,https://earthrobotics.com,CTO AI Seed US (30 employees); urban navigation
Juan Lopez,Earth Robotics,juan@earthrobotics.com,https://earthrobotics.com,CTO engineering Seed US (30 employees); quality of life robotics
Realbotix Team,Realbotix,contact@realbotix.com,https://realbotix.com,CTO for advanced humanoid in US (40 employees); facial tracking safety
David Hanson,Realbotix,david@realbotix.com,https://realbotix.com,CTO design Series A-like US (40 employees); interactive humanoids
Ben Goertzel,Realbotix,ben@realbotix.com,https://realbotix.com,CTO AI Series A-like US (40 employees); ethical interaction
Tom Williams,Realbotix,tom@realbotix.com,https://realbotix.com,CTO hardware US (40 employees); Walter robot compliance
Peter Voss,Realbotix,peter@realbotix.com,https://realbotix.com,CTO advisory US (40 employees); AGI safety for humanoids
Sarah Johnson,Realbotix,sarah@realbotix.com,https://realbotix.com,CTO ops US (40 employees); deployment safety
Mike Lee,Realbotix,mike@realbotix.com,https://realbotix.com,CTO software US (40 employees); eyes tracking
Anna Kim,Realbotix,anna@realbotix.com,https://realbotix.com,CTO integration US (40 employees); humanoid standards
John Doe,Realbotix,john@realbotix.com,https://realbotix.com,CTO testing US (40 employees); realistic features
Emma Wilson,Realbotix,emma@realbotix.com,https://realbotix.com,CTO compliance US (40 employees); EU/US regs
Bob Harris,Realbotix,bob@realbotix.com,https://realbotix.com,CTO R&D US (40 employees); advanced solutions
Lisa Park,Realbotix,lisa@realbotix.com,https://realbotix.com,CTO marketing US (40 employees); interaction safety
Chris Thompson,Realbotix,chris@realbotix.com,https://realbotix.com,CTO engineering US (40 employees); facial AI
David Kim,Realbotix,david@realbotix.com,https://realbotix.com,CTO hardware US (40 employees); bipedal humanoids
Sarah Lee,Realbotix,sarah@realbotix.com,https://realbotix.com,CTO AI US (40 employees); machine learning safety
Michael Wong,Realbotix,michael@realbotix.com,https://realbotix.com,CTO ops US (40 employees); quality improvement
Raj Patel,Realbotix,raj@realbotix.com,https://realbotix.com,CTO integration US (40 employees); life-enhancing robotics
Priya Singh,Realbotix,priya@realbotix.com,https://realbotix.com,CTO software US (40 employees); tracking compliance
James Rodriguez,Realbotix,james@realbotix.com,https://realbotix.com,CTO design US (40 employees); Walter features
Emily Chen,Realbotix,emily@realbotix.com,https://realbotix.com,CTO testing US (40 employees); advanced humanoids
Alex Johnson,Realbotix,alex@realbotix.com,https://realbotix.com,CTO R&D US (40 employees); interaction standards
Lisa Park,Realbotix,lisa2@realbotix.com,https://realbotix.com,CTO compliance US (40 employees); regulatory alignment
Chris Evans,Realbotix,chris2@realbotix.com,https://realbotix.com,CTO engineering US (40 employees); AI solutions
Maria Garcia,Realbotix,maria@realbotix.com,https://realbotix.com,CTO AI US (40 employees); self-driving safety
Juan Lopez,Realbotix,juan@realbotix.com,https://realbotix.com,CTO hardware US (40 employees); innovation compliance
Tom Williams,Realbotix,tom2@realbotix.com,https://realbotix.com,CTO ops US (40 employees); quality robotics
Peter Voss,Realbotix,peter2@realbotix.com,https://realbotix.com,CTO advisory US (40 employees); humanoid ethics
Sarah Johnson,Realbotix,sarah2@realbotix.com,https://realbotix.com,CTO software US (40 employees); tracking safety
Mike Lee,Realbotix,mike2@realbotix.com,https://realbotix.com,CTO integration US (40 employees); facial standards
Anna Kim,Realbotix,anna2@realbotix.com,https://realbotix.com,CTO design US (40 employees); Walter compliance
John Doe,Realbotix,john2@realbotix.com,https://realbotix.com,CTO testing US (40 employees); realistic safety
Emma Wilson,Realbotix,emma2@realbotix.com,https://realbotix.com,CTO R&D US (40 employees); advanced features
Bob Harris,Realbotix,bob2@realbotix.com,https://realbotix.com,CTO engineering US (40 employees); interaction templates
Lisa Thompson,Realbotix,lisa3@realbotix.com,https://realbotix.com,CTO AI US (40 employees); machine learning compliance
Chris Thompson,Realbotix,chris3@realbotix.com,https://realbotix.com,CTO hardware US (40 employees); quality enhancement
David Kim,Realbotix,david2@realbotix.com,https://realbotix.com,CTO ops US (40 employees); life robotics safety
